kode_prov,kode_kabkota,nama_prov,nama_kab,pop_total_2025,pop_balita_0_4,pop_anak_5_14,pop_remaja_15_24,pop_dewasa_25_59,pop_lansia_60_plus,dependency_ratio,sex_ratio,pct_jkn_pbi,pct_jkn_non_pbi,pct_asuransi_swasta,pct_jkn_total,pct_no_insurance,avg_oop_health_total,avg_rawat_inap,avg_rawat_jalan,avg_obat,avg_premi_asuransi_kesehatan,oop_pct_total_nonfood,n_sample_total,low_confidence,pct_lansia_60,pct_balita_0_4,pct_anak_5_14,pct_dewasa_produktif,aging_index,aging_profile,insurance_profile
11,1101,ACEH,KAB SIMEULUE,100406,9816,19668,14319,48321,8282,78.16,103.52,0.8856,0.1023,0.0059,0.9879,0.0062,180839,16317,4732,14255,145534,0.104,1851.0,0,0.0825,0.0978,0.1959,0.4813,28.09,Aging-Early (7-10%),High Coverage (≥90%)
11,1102,ACEH,KAB ACEH SINGKIL,131827,15058,29024,21361,58551,7833,88.67,101.24,0.7838,0.1243,0.0166,0.9081,0.0753,201751,13214,22300,7791,158446,0.0957,2066.0,0,0.0594,0.1142,0.2202,0.4442,17.77,Young (<7%),High Coverage (≥90%)
11,1103,ACEH,KAB ACEH SELATAN,256776,19243,45989,38629,124665,28251,74.99,96.67,0.8848,0.102,0.0006,0.9868,0.0127,188674,15756,9410,5075,158433,0.1151,2291.0,0,0.11,0.0749,0.1791,0.4855,43.31,Aging-Onset (10-15%),High Coverage (≥90%)
11,1104,ACEH,KAB ACEH TENGGARA,230210,21219,48220,37566,104325,18878,84.66,101.78,0.8674,0.1174,0.0038,0.9849,0.0113,173441,22803,6791,13711,130137,0.1204,1980.0,0,0.082,0.0922,0.2095,0.4532,27.19,Aging-Early (7-10%),High Coverage (≥90%)
11,1105,ACEH,KAB ACEH TIMUR,464499,44329,95295,80273,205810,38792,86.69,99.24,0.9482,0.0474,0.0005,0.9956,0.0039,190577,11844,12607,12308,153819,0.1031,2408.0,0,0.0835,0.0954,0.2052,0.4431,27.78,Aging-Early (7-10%),High Coverage (≥90%)
11,1106,ACEH,KAB ACEH TENGAH,225828,20537,41447,34016,109683,20145,74.88,101.63,0.8483,0.1284,0.0011,0.9767,0.0222,204133,24108,15359,19791,144874,0.0874,1940.0,0,0.0892,0.0909,0.1835,0.4857,32.5,Aging-Early (7-10%),High Coverage (≥90%)
11,1107,ACEH,KAB ACEH BARAT,222921,18312,35980,36610,111670,20349,66.84,101.82,0.8397,0.1448,0.0136,0.9845,0.0019,232808,35694,19846,14997,162270,0.0919,2102.0,0,0.0913,0.0821,0.1614,0.5009,37.48,Aging-Early (7-10%),High Coverage (≥90%)
11,1108,ACEH,KAB ACEH BESAR,451729,42499,71578,80845,213466,43341,73.74,104.83,0.8546,0.139,0.0063,0.9935,0.0002,284094,64973,22259,8451,188411,0.1024,2767.0,0,0.0959,0.0941,0.1585,0.4726,37.99,Aging-Early (7-10%),High Coverage (≥90%)
11,1109,ACEH,KAB PIDIE,471888,39395,80886,76295,215143,60168,83.87,94.12,0.8648,0.1093,0.0047,0.9742,0.0211,206990,35896,22639,16920,131535,0.1126,2312.0,0,0.1275,0.0835,0.1714,0.4559,50.02,Aging-Onset (10-15%),High Coverage (≥90%)
11,1110,ACEH,KAB BIREUEN,501036,40049,85809,86509,232263,56404,78.47,94.83,0.8773,0.107,0.0032,0.9843,0.0125,328627,134092,26499,9137,158900,0.1544,2518.0,0,0.1126,0.0799,0.1713,0.4636,44.82,Aging-Onset (10-15%),High Coverage (≥90%)
