rank_magnitude,rank_eczi,kawasan,pulse_yoy_2026,kabkota,deskripsi,n_desa_member,desa_members,desa_missing,podes_count_total,magnitude_total,count_hiburan_nightlife,count_gaya_hidup_wellness,count_retail_khusus,count_wisata_budaya,count_layanan_penunjang,catchment_density_1km_total,n_pixels_total,ntl_cagr_2021_2025,ntl_change_2024_2025,ntl_level_2025,podes_cagr_2021_2025,podes_change_2024_2025,magnitude_cagr_2021_2025,podes_diversity_shannon,transport_access_score_raw,g1_cahaya_malam,g2_tempat_usaha,g3_magnitude,g4_gaya_hidup,g5_aksesibilitas,eczi_score,magnitude_score,pulse_badge,tipe_kawasan
6,1,Mega Kuningan,-0.93,Jakarta Selatan,"Office cluster Mega Kuningan dan Karet Kuningan, top emerging post-COVID",3,"Kuningan Timur, Kuningan Barat, Karet Kuningan",,573,21442684912.631207,20,33,9,5,87,284,19,0.0664,0.0054,70.416,0.3535,0.4019,0.5681,1.5083,186.87,69.73,78.99,95.38,43.37,83.51,75.2,82.11,Stabil,Kawasan Komersial Sedang Naik Daun
14,2,Blok M & Sekitarnya,5.37,Jakarta Selatan,"Pusat komersial Kebayoran Baru klasik, mengalami revival 2024-2026",4,"Petogogan, Pulo, Melawai, Kramat Pela",,704,27541682455.84101,7,4,4,5,136,363,20,0.087,0.0461,60.696,0.1081,0.2101,0.3842,1.5241,215.04,84.43,67.9,83.74,22.64,85.6,71.72,77.29,Trend Lanjut Tumbuh,Kawasan Komersial Sedang Naik Daun
11,3,SCBD & Sudirman,3.18,Jakarta Selatan & Pusat,"Kawasan CBD Sudirman-Thamrin corridor, ofise tower premium",4,"Karet Semanggi, Senayan, Bendungan Hilir, Karet Tengsin",Setiabudi,699,19524411830.295303,10,23,3,4,91,312,23,0.0611,0.0741,83.746,0.1892,0.0242,0.382,1.7188,222.12,69.63,65.92,83.57,29.53,82.31,67.67,78.67,Stabil,Kawasan Komersial Mapan
19,4,Cipete & Urban Forest,-3.0,Jakarta Selatan,Kawasan residensial dan kafe Cipete,2,"Cipete Selatan, Cipete Utara",,148,6607238445.672627,1,11,1,1,54,103,18,0.0895,0.0223,47.586,0.0773,0.0,0.3127,1.7451,114.16,84.32,56.11,73.11,20.94,77.44,64.8,73.67,Stabil,Kawasan Komersial Sedang Naik Daun
9,5,Kemang,3.39,Jakarta Selatan,Lifestyle cluster Mampang-Kemang,3,"Pela Mampang, Bangka, Mampang Prapatan",,942,21855605444.234337,6,43,2,3,47,133,26,0.0865,0.0167,50.023,0.0972,-0.0766,0.2091,1.29,136.18,80.7,59.03,71.93,24.51,74.68,64.64,80.07,Stabil,Kawasan Komersial Sedang Naik Daun
4,6,Tanjung Duren & Mall Corridor,4.01,Jakarta Barat,"Corridor mall Taman Anggrek - Central Park - Mall Tanjung Duren, top emerging Jakbar",4,"Tanjung Duren Utara, Tanjung Duren Selatan, Grogol, Tomang",,1247,21789418143.637802,6,57,34,2,184,638,23,0.0914,0.0737,64.364,-0.0863,-0.3061,0.0961,1.2853,232.91,86.56,44.06,59.71,38.05,86.56,63.76,83.01,Stabil,Kawasan Komersial Sedang Naik Daun
3,7,Ancol & Pademangan,-4.79,Jakarta Utara,Kawasan rekreasi dan komersial pesisir,3,"Ancol, Pademangan Timur, Pademangan Barat",,1111,19726897579.306427,5,30,4,8,144,202,43,0.0826,0.0013,48.975,-0.0029,0.0018,0.0747,1.4602,131.79,73.56,56.32,62.57,31.98,80.3,63.02,83.8,Stabil,Kawasan Komersial Sedang Naik Daun
5,8,Pantai Mutiara,11.2,Jakarta Utara,Kawasan residensial elite pesisir,1,Pluit,,125,6129903943.683232,0,17,1,1,116,82,28,0.0769,0.1119,59.912,-0.1514,0.0163,0.1863,1.9114,48.05,87.13,47.26,67.09,28.22,78.34,62.94,82.2,Trend Lanjut Tumbuh,Kawasan Komersial Sedang Naik Daun
8,9,Thamrin & Menteng,6.74,Jakarta Pusat,CBD Pusat klasik dengan office tower dan retail premium,5,"Gondangdia, Menteng, Kebon Sirih, Cikini, Gambir",,685,32583093824.234165,23,32,15,18,170,540,31,0.0338,0.0284,83.075,0.0685,0.0,0.5814,1.4951,248.35,45.1,57.67,87.52,45.97,88.25,62.65,80.56,Trend Lanjut Tumbuh,Kawasan Komersial Mapan
1,10,PIK (Pantai Indah Kapuk),-1.0,Jakarta Utara,"Kawasan komersial reklamasi Pantai Indah Kapuk, salah satu zona pertumbuhan tinggi",3,"Kamal Muara, Kapuk Muara, Pejagalan",,2491,24915706851.014538,3,21,4,3,108,80,100,0.0825,0.024,45.739,0.0221,0.002,0.2451,1.7057,61.15,69.13,60.36,75.66,28.94,61.99,60.7,85.41,Stabil,Kawasan Komersial Sedang Naik Daun
