area,ntl_CAGR_2021_2025,ntl_change_2024_2025,ntl_level_2025,ntl_recovery_2021_2025,ntl_CAGR_2019_2025_historical
PIK 2 (Pantai Maju),0.2619,-0.2285,6.394,2.536,0.204
Ancol,0.1313,-0.3448,12.204,1.638,-0.0121
Cilincing,0.1282,0.0634,20.5,1.62,0.0575
PIK (Pantai Indah Kapuk),0.1272,-0.0151,54.788,1.614,0.0807
Cipete/Urban Forest,0.1069,0.0602,48.545,1.501,0.0344
Kemang,0.097,0.0495,54.427,1.448,0.0242
Cengkareng,0.0834,-0.0045,45.767,1.378,0.0167
Pantai Mutiara,0.0797,0.1411,67.185,1.359,0.0364
Pesanggrahan,0.0603,-0.0187,43.317,1.264,-0.0011
Kalideres,0.06,-0.089,45.351,1.262,0.0268
Pluit/Penjaringan,0.0542,0.0642,60.232,1.235,0.0314
Blok M,0.0538,0.0189,70.32,1.233,0.0073
Kelapa Gading,0.049,0.0372,57.329,1.211,-0.0012
SCBD/Sudirman,0.0478,0.0367,85.076,1.205,-0.013
Thamrin,0.0345,0.0273,79.041,1.145,-0.0176
Cawang,0.0267,-0.0874,39.573,1.111,-0.0139
