desa_pcode,nama_desa,nama_kecamatan,nama_kabkota,n_pixels,lum_2021,lum_2024,lum_2025,ntl_cagr_2021_2025,ntl_change_2024_2025,ntl_level_2025,ntl_recovery_2021_2025,quality_flag
ID3175020003,Ancol,Pademangan,Kota Jakarta Utara,28,33.02,47.134,46.612,0.08524999999999999,-0.010450000000000001,46.612,1.412,high
ID3174050007,Angke,Tambora,Kota Jakarta Barat,3,38.56,48.008,47.633,0.0469,-0.0178,47.633,1.235,low
ID3172050001,Bale Kambang,Kramat Jati,Kota Jakarta Timur,7,26.162,34.558,33.296,0.067,-0.0385,33.296,1.273,medium
ID3172060007,Bali Mester,Jatinegara,Kota Jakarta Timur,1,43.785,60.372,57.901,0.0724,-0.0409,57.901,1.322,low
ID3172030006,Bambu Apus,Cipayung,Kota Jakarta Timur,12,23.024,30.834,29.162,0.06720000000000001,-0.04,29.162,1.267,high
ID3171070001,Bangka,Mampang Prapatan,Kota Jakarta Selatan,13,33.099,44.531,42.308,0.0834,0.0199,42.308,1.278,high
ID3172010003,Baru,Pasar Rebo,Kota Jakarta Timur,7,22.381,29.109,27.068,0.0502,-0.0692,27.068,1.209,medium
ID3172050002,Batu Ampar,Kramat Jati,Kota Jakarta Timur,11,27.385,36.142,36.117,0.0679,-0.0017,36.117,1.319,high
ID3173010002,Bendungan Hilir,Tanah Abang,Kota Jakarta Pusat,6,58.267,65.152,65.436,0.0532,0.0402,65.436,1.123,medium
ID3172060001,Bidara Cina,Jatinegara,Kota Jakarta Timur,3,34.193,47.961,45.328,0.0708,-0.0621,45.328,1.326,low
ID3171040001,Bintaro,Pesanggrahan,Kota Jakarta Selatan,21,31.482,40.098,38.298,0.0586,-0.0419,38.298,1.216,high
ID3171090005,Bukit Duri,Tebet,Kota Jakarta Selatan,5,37.535,51.655,46.445,0.0532,-0.1369,46.445,1.237,medium
ID3173030006,Bungur,Senen,Kota Jakarta Pusat,3,51.577,53.294,55.64,0.0168,0.0371,55.64,1.079,low
ID3172080006,Cakung Barat,Cakung,Kota Jakarta Timur,26,39.273,46.315,44.399,0.02765,-0.026099999999999998,44.399,1.131,high
ID3172080005,Cakung Timur,Cakung,Kota Jakarta Timur,35,34.753,43.207,40.785,0.0445,-0.047,40.785,1.174,high
ID3172050007,Cawang,Kramat Jati,Kota Jakarta Timur,8,36.222,44.8,42.826,0.04435,-0.0803,42.826,1.182,medium
ID3172030007,Ceger,Cipayung,Kota Jakarta Timur,15,27.251,36.808,33.457,0.0472,-0.091,33.457,1.228,high
ID3173060002,Cempaka Baru,Kemayoran,Kota Jakarta Pusat,3,47.007,52.796,51.729,0.0238,-0.0202,51.729,1.1,low
ID3173050003,Cempaka Putih Barat,Cempaka Putih,Kota Jakarta Pusat,3,47.58,51.476,51.986,0.0211,0.0099,51.986,1.093,low
ID3173050002,Cempaka Putih Timur,Cempaka Putih,Kota Jakarta Pusat,11,44.889,54.179,51.568,0.0343,-0.0171,51.568,1.149,high
ID3174070006,Cengkareng Barat,Cengkareng,Kota Jakarta Barat,15,37.293,48.327,48.153,0.0758,0.027,48.153,1.291,high
ID3174070005,Cengkareng Timur,Cengkareng,Kota Jakarta Barat,17,36.92,48.527,52.398,0.0775,0.0705,52.398,1.419,high
ID3172020001,Cibubur,Ciracas,Kota Jakarta Timur,19,22.092,31.216,29.657,0.0651,-0.0355,29.657,1.342,high
ID3173080001,Cideng,Gambir,Kota Jakarta Pusat,5,46.704,54.8,60.078,0.0602,0.0963,60.078,1.286,medium
ID3171010003,Ciganjur,Jagakarsa,Kota Jakarta Selatan,14,25.727,33.611,34.215,0.0707,0.010249999999999999,34.215,1.33,high
ID3172010004,Cijantung,Pasar Rebo,Kota Jakarta Timur,12,24.205,33.191,32.216,0.07715,-0.03745,32.216,1.331,high
ID3173020003,Cikini,Menteng,Kota Jakarta Pusat,3,68.018,65.815,71.725,0.0189,0.0405,71.725,1.055,low
ID3171080006,Cikoko,Pancoran,Kota Jakarta Selatan,4,40.549,56.549,54.833,0.07285,-0.0352,54.833,1.352,low
ID3171030003,Cilandak Barat,Cilandak,Kota Jakarta Selatan,22,34.807,46.097,46.38,0.07569999999999999,0.0171,46.38,1.332,high
ID3171020001,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan,14,32.77,42.33,42.311,0.06455,0.005549999999999999,42.311,1.291,high
ID3172030002,Cilangkap,Cipayung,Kota Jakarta Timur,23,17.798,26.215,24.837,0.086,-0.0054,24.837,1.395,high
ID3172050006,Cililitan,Kramat Jati,Kota Jakarta Timur,8,35.932,43.281,40.607,0.0406,-0.0431,40.607,1.13,medium
ID3175060004,Cilincing,Cilincing,Kota Jakarta Utara,30,29.744,33.245,33.17,0.03155,-0.033,33.17,1.115,high
ID3172030004,Cipayung,Cipayung,Kota Jakarta Timur,10,22.847,30.334,29.337,0.0761,-0.0086,29.337,1.284,high
ID3171010001,Cipedak,Jagakarsa,Kota Jakarta Selatan,18,25.725,35.718,35.431,0.08375,-0.014600000000000002,35.431,1.377,high
ID3171030005,Cipete Selatan,Cilandak,Kota Jakarta Selatan,12,33.878,46.342,47.373,0.08985,0.03,47.373,1.398,high
ID3171060002,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan,6,34.24,46.785,48.011,0.08875,0.007050000000000001,48.011,1.402,medium
ID3172090002,Cipinang,Pulo Gadung,Kota Jakarta Timur,5,33.5,46.491,42.736,0.0646,-0.0909,42.736,1.276,medium
ID3172060003,Cipinang Besar Selatan,Jatinegara,Kota Jakarta Timur,5,33.36,44.251,38.954,0.0445,-0.0891,38.954,1.168,medium
ID3172060005,Cipinang Besar Utara,Jatinegara,Kota Jakarta Timur,5,44.065,54.549,50.34,0.0306,-0.0799,50.34,1.142,medium
ID3172060002,Cipinang Cempedak,Jatinegara,Kota Jakarta Timur,9,39.75,52.877,46.669,0.0417,-0.1221,46.669,1.174,medium
ID3172040005,Cipinang Melayu,Makasar,Kota Jakarta Timur,12,33.141,44.038,42.303,0.061149999999999996,-0.04945,42.303,1.276,high
ID3172060004,Cipinang Muara,Jatinegara,Kota Jakarta Timur,11,33.069,43.319,39.308,0.0354,-0.1076,39.308,1.189,high
ID3171050004,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,6,35.753,42.578,39.975,0.0286,-0.062,39.975,1.118,medium
ID3172020003,Ciracas,Ciracas,Kota Jakarta Timur,16,26.977,34.248,31.975,0.038650000000000004,-0.0813,31.975,1.185,high
ID3175888888,Danau Sunter,Danau Sunter,Kota Jakarta Utara,1,47.451,54.959,55.777,0.0412,0.0149,55.777,1.175,low
ID3175555888,Danau Sunter Dll,Danau Sunter Dll,Kota Jakarta Utara,3,46.478,61.666,63.138,0.0796,0.0214,63.138,1.358,low
