desa_pcode,nama_desa,nama_kecamatan,nama_kabkota,centroid_lat,centroid_lon,count_layanan_penunjang,count_hiburan_nightlife,count_gaya_hidup_wellness,count_retail_khusus,count_wisata_budaya,transport_access_score_raw,catchment_density_1km
ID3175020003,Ancol,Pademangan,Kota Jakarta Utara,-6.1242,106.8335,63.0,4.0,24.0,0.0,8.0,114.02,31
ID3174050007,Angke,Tambora,Kota Jakarta Barat,-6.1456,106.7957,15.0,0.0,2.0,0.0,0.0,74.55,60
ID3172050001,Bale Kambang,Kramat Jati,Kota Jakarta Timur,-6.2816,106.8527,5.0,0.0,1.0,0.0,0.0,128.59,23
ID3172060007,Bali Mester,Jatinegara,Kota Jakarta Timur,-6.2195,106.8663,35.0,0.0,1.0,1.0,1.0,175.14,72
ID3172030006,Bambu Apus,Cipayung,Kota Jakarta Timur,-6.3128,106.9023,8.0,0.0,5.0,0.0,1.0,130.41,21
ID3171070001,Bangka,Mampang Prapatan,Kota Jakarta Selatan,-6.2632,106.8182,31.0,6.0,41.0,1.0,3.0,112.09,69
ID3172010003,Baru,Pasar Rebo,Kota Jakarta Timur,-6.3244,106.8468,9.0,0.0,1.0,1.0,0.0,90.54,15
ID3172050002,Batu Ampar,Kramat Jati,Kota Jakarta Timur,-6.2788,106.8611,7.0,0.0,6.0,0.0,0.0,177.53,22
ID3173010002,Bendungan Hilir,Tanah Abang,Kota Jakarta Pusat,-6.2086,106.809,40.0,0.0,6.0,0.0,0.0,179.19,63
ID3172060001,Bidara Cina,Jatinegara,Kota Jakarta Timur,-6.2353,106.8669,24.0,0.0,2.0,1.0,0.0,133.0,40
ID3171040001,Bintaro,Pesanggrahan,Kota Jakarta Selatan,-6.2704,106.7636,16.0,0.0,19.0,0.0,0.0,93.2,25
ID3171090005,Bukit Duri,Tebet,Kota Jakarta Selatan,-6.2213,106.8581,14.0,0.0,0.0,0.0,0.0,131.86,55
ID3173030006,Bungur,Senen,Kota Jakarta Pusat,-6.1716,106.8477,12.0,0.0,0.0,0.0,0.0,154.82,65
ID3172080006,Cakung Barat,Cakung,Kota Jakarta Timur,-6.1732,106.9346,7.0,0.0,2.0,1.0,0.0,33.39,4
ID3172080005,Cakung Timur,Cakung,Kota Jakarta Timur,-6.1706,106.9553,8.0,0.0,7.0,0.0,0.0,14.04,7
ID3172050007,Cawang,Kramat Jati,Kota Jakarta Timur,-6.2508,106.8672,21.0,0.0,0.0,0.0,0.0,96.36,32
ID3172030007,Ceger,Cipayung,Kota Jakarta Timur,-6.3081,106.8928,3.0,6.0,0.0,1.0,53.0,174.9,54
ID3173060002,Cempaka Baru,Kemayoran,Kota Jakarta Pusat,-6.1681,106.8627,7.0,1.0,0.0,0.0,0.0,57.66,50
ID3173050003,Cempaka Putih Barat,Cempaka Putih,Kota Jakarta Pusat,-6.1799,106.8638,10.0,0.0,5.0,0.0,0.0,106.36,32
ID3173050002,Cempaka Putih Timur,Cempaka Putih,Kota Jakarta Pusat,-6.176,106.8717,27.0,0.0,4.0,0.0,0.0,58.54,39
ID3174070006,Cengkareng Barat,Cengkareng,Kota Jakarta Barat,-6.1389,106.7237,45.0,0.0,3.0,2.0,0.0,24.25,50
ID3174070005,Cengkareng Timur,Cengkareng,Kota Jakarta Barat,-6.1414,106.7354,62.0,0.0,12.0,11.0,0.0,32.3,54
ID3172020001,Cibubur,Ciracas,Kota Jakarta Timur,-6.3569,106.8822,39.0,0.0,19.0,3.0,0.0,95.7,40
ID3173080001,Cideng,Gambir,Kota Jakarta Pusat,-6.173,106.8083,76.0,0.0,6.0,14.0,0.0,240.8,176
ID3171010003,Ciganjur,Jagakarsa,Kota Jakarta Selatan,-6.3364,106.8086,8.0,0.0,15.0,0.0,0.0,88.96,19
ID3172010004,Cijantung,Pasar Rebo,Kota Jakarta Timur,-6.3214,106.8583,9.0,0.0,7.0,6.0,0.0,87.32,31
ID3173020003,Cikini,Menteng,Kota Jakarta Pusat,-6.1916,106.8395,47.0,8.0,1.0,1.0,1.0,206.6,121
ID3171080006,Cikoko,Pancoran,Kota Jakarta Selatan,-6.245,106.8544,8.0,0.0,1.0,0.0,0.0,124.93,38
ID3171030003,Cilandak Barat,Cilandak,Kota Jakarta Selatan,-6.2905,106.7971,48.0,1.0,23.0,2.0,2.0,116.99,49
ID3171020001,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan,-6.2912,106.8127,21.0,0.0,26.0,1.0,1.0,144.77,27
ID3172030002,Cilangkap,Cipayung,Kota Jakarta Timur,-6.3336,106.9083,8.0,0.0,3.0,0.0,1.0,11.94,5
ID3172050006,Cililitan,Kramat Jati,Kota Jakarta Timur,-6.2625,106.8644,9.0,0.0,1.0,0.0,0.0,159.79,24
ID3175060004,Cilincing,Cilincing,Kota Jakarta Utara,-6.112,106.9447,7.0,0.0,0.0,0.0,1.0,42.14,3
ID3172030004,Cipayung,Cipayung,Kota Jakarta Timur,-6.3291,106.8938,7.0,0.0,2.0,0.0,1.0,65.08,11
ID3171010001,Cipedak,Jagakarsa,Kota Jakarta Selatan,-6.3538,106.8021,8.0,0.0,3.0,0.0,0.0,93.65,11
ID3171030005,Cipete Selatan,Cilandak,Kota Jakarta Selatan,-6.2728,106.805,24.0,0.0,7.0,0.0,1.0,94.39,49
ID3171060002,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan,-6.2617,106.8044,30.0,1.0,4.0,1.0,0.0,114.16,54
ID3172090002,Cipinang,Pulo Gadung,Kota Jakarta Timur,-6.2076,106.8912,17.0,0.0,0.0,0.0,0.0,94.38,32
ID3172060003,Cipinang Besar Selatan,Jatinegara,Kota Jakarta Timur,-6.2296,106.8808,19.0,0.0,2.0,0.0,0.0,180.42,25
ID3172060005,Cipinang Besar Utara,Jatinegara,Kota Jakarta Timur,-6.2187,106.8795,7.0,0.0,1.0,0.0,0.0,185.58,32
ID3172060002,Cipinang Cempedak,Jatinegara,Kota Jakarta Timur,-6.2369,106.8735,8.0,1.0,4.0,0.0,0.0,130.06,34
ID3172040005,Cipinang Melayu,Makasar,Kota Jakarta Timur,-6.2498,106.9059,10.0,0.0,0.0,0.0,0.0,97.26,14
ID3172060004,Cipinang Muara,Jatinegara,Kota Jakarta Timur,-6.2264,106.8891,17.0,0.0,1.0,0.0,0.0,164.77,21
ID3171050004,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,-6.238,106.7732,9.0,0.0,2.0,0.0,0.0,131.71,18
ID3172020003,Ciracas,Ciracas,Kota Jakarta Timur,-6.326,106.8754,25.0,0.0,9.0,2.0,0.0,99.37,33
ID3175888888,Danau Sunter,Danau Sunter,Kota Jakarta Utara,-6.1513,106.8585,0.0,0.0,0.0,0.0,0.0,91.83,31
ID3175555888,Danau Sunter Dll,Danau Sunter Dll,Kota Jakarta Utara,-6.1507,106.8455,0.0,1.0,0.0,0.0,0.0,63.44,26
ID3172050004,Dukuh,Kramat Jati,Kota Jakarta Timur,-6.2962,106.8778,4.0,0.0,0.0,0.0,0.0,94.39,19
ID3172070002,Duren Sawit,Duren Sawit,Kota Jakarta Timur,-6.2333,106.9159,22.0,0.0,2.0,1.0,0.0,148.72,9
ID3171080003,Duren Tiga,Pancoran,Kota Jakarta Selatan,-6.2559,106.8352,16.0,0.0,8.0,2.0,0.0,99.55,32
ID3174020005,Duri Kepa,Kebon Jeruk,Kota Jakarta Barat,-6.1761,106.7738,43.0,0.0,5.0,2.0,0.0,40.9,56
ID3174070001,Duri Kosambi,Cengkareng,Kota Jakarta Barat,-6.1715,106.7187,28.0,0.0,10.0,0.0,0.0,14.89,20
ID3173080006,Duri Pulo,Gambir,Kota Jakarta Pusat,-6.1634,106.8045,25.0,0.0,1.0,3.0,0.0,147.19,166
ID3174050002,Duri Selatan,Tambora,Kota Jakarta Barat,-6.159,106.805,6.0,0.0,0.0,0.0,0.0,129.13,148
ID3174050004,Duri Utara,Tambora,Kota Jakarta Barat,-6.1543,106.8049,14.0,0.0,5.0,1.0,0.0,109.53,125
ID3173040004,Galur,Johar Baru,Kota Jakarta Pusat,-6.1763,106.8552,3.0,0.0,0.0,0.0,0.0,124.98,37
ID3173080003,Gambir,Gambir,Kota Jakarta Pusat,-6.1764,106.8267,16.0,1.0,2.0,0.0,2.0,235.95,55
ID3171030004,Gandaria Selatan,Cilandak,Kota Jakarta Selatan,-6.271,106.793,25.0,0.0,2.0,0.0,0.0,93.07,56
ID3171060001,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan,-6.2579,106.791,47.0,0.0,7.0,6.0,0.0,143.82,99
ID3172010005,Gedong,Pasar Rebo,Kota Jakarta Timur,-6.3012,106.8599,14.0,0.0,6.0,0.0,0.0,49.81,22
ID3173010001,Gelora,Tanah Abang,Kota Jakarta Pusat,-6.2163,106.8015,20.0,10.0,22.0,6.0,5.0,136.08,47
ID3174060007,Glodok,Taman Sari,Kota Jakarta Barat,-6.145,106.8132,14.0,0.0,4.0,2.0,1.0,146.57,189
ID3173020004,Gondangdia,Menteng,Kota Jakarta Pusat,-6.1918,106.8295,31.0,5.0,10.0,2.0,6.0,248.35,156
ID3174040004,Grogol,Grogol Petamburan,Kota Jakarta Barat,-6.1618,106.7941,46.0,0.0,3.0,2.0,0.0,133.99,117
ID3171050005,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,-6.2295,106.7818,10.0,0.0,5.0,0.0,1.0,153.2,18
ID3171050006,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,-6.2171,106.7869,15.0,0.0,5.0,2.0,0.0,132.53,20
ID3171100007,Guntur,Setia Budi,Kota Jakarta Selatan,-6.2072,106.8332,5.0,0.0,1.0,0.0,0.0,219.31,43
ID3171060007,Gunung,Kebayoran Baru,Kota Jakarta Selatan,-6.236,106.7927,22.0,0.0,6.0,0.0,0.0,177.34,60
ID3173060008,Gunung Sahari Selatan,Kemayoran,Kota Jakarta Pusat,-6.1599,106.8439,38.0,0.0,1.0,1.0,0.0,125.45,73
ID3173070002,Gunung Sahari Utara,Sawah Besar,Kota Jakarta Pusat,-6.1494,106.8384,30.0,1.0,2.0,2.0,1.0,84.5,58
ID3172040004,Halim Perdana Kusumah,Makasar,Kota Jakarta Timur,-6.2658,106.8933,17.0,0.0,4.0,0.0,0.0,43.45,9
ID3173060001,Harapan Mulya,Kemayoran,Kota Jakarta Pusat,-6.1705,106.8558,8.0,0.0,1.0,0.0,0.0,108.24,51
ID3171010004,Jagakarsa,Jagakarsa,Kota Jakarta Selatan,-6.3251,106.8192,26.0,1.0,13.0,0.0,1.0,171.78,25
ID3172090004,Jati,Pulo Gadung,Kota Jakarta Timur,-6.1946,106.8969,30.0,0.0,2.0,3.0,0.0,125.76,49
ID3171020005,Jati Padang,Pasar Minggu,Kota Jakarta Selatan,-6.2884,106.831,11.0,0.0,5.0,0.0,1.0,136.17,28
ID3174030006,Jati Pulo,Palmerah,Kota Jakarta Barat,-6.1788,106.8038,17.0,0.0,1.0,0.0,0.0,237.9,75
ID3172080001,Jatinegara,Cakung,Kota Jakarta Timur,-6.2036,106.9159,12.0,0.0,0.0,1.0,0.0,110.36,2
ID3172090003,Jatinegara Kaum,Pulo Gadung,Kota Jakarta Timur,-6.2025,106.9013,11.0,0.0,1.0,0.0,0.0,95.49,22
ID3174040005,Jelambar,Grogol Petamburan,Kota Jakarta Barat,-6.1592,106.7855,23.0,0.0,1.0,1.0,0.0,114.85,61
ID3174040007,Jelambar Baru,Grogol Petamburan,Kota Jakarta Barat,-6.1491,106.7871,20.0,0.0,1.0,0.0,0.0,78.64,46
ID3174050006,Jembatan Besi,Tambora,Kota Jakarta Barat,-6.1519,106.7977,22.0,0.0,1.0,1.0,0.0,83.74,77
ID3174050008,Jembatan Lima,Tambora,Kota Jakarta Barat,-6.145,106.8037,9.0,0.0,0.0,0.0,0.0,108.94,104
ID3174010001,Joglo,Kembangan,Kota Jakarta Barat,-6.2191,106.739,21.0,0.0,3.0,0.0,0.0,80.09,18
ID3173040001,Johar Baru,Johar Baru,Kota Jakarta Pusat,-6.1857,106.857,7.0,0.0,1.0,0.0,0.0,145.64,33
ID3175060007,Kali Baru,Cilincing,Kota Jakarta Utara,-6.103,106.9204,6.0,0.0,0.0,0.0,0.0,14.97,13
ID3174050001,Kalianyar,Tambora,Kota Jakarta Barat,-6.1577,106.799,4.0,0.0,0.0,0.0,0.0,96.54,105
ID3171080001,Kalibata,Pancoran,Kota Jakarta Selatan,-6.2631,106.8378,30.0,0.0,5.0,1.0,0.0,71.61,52
ID3174080002,Kalideres,Kali Deres,Kota Jakarta Barat,-6.1508,106.6999,39.0,0.0,3.0,0.0,0.0,39.6,33
ID3172010002,Kalisari,Pasar Rebo,Kota Jakarta Timur,-6.3359,106.8519,13.0,0.0,6.0,1.0,0.0,120.65,20
ID3174080005,Kamal,Kali Deres,Kota Jakarta Barat,-6.1014,106.6996,4.0,0.0,1.0,0.0,0.0,1.04,7
ID3175010001,Kamal Muara,Penjaringan,Kota Jakarta Utara,-6.1105,106.7358,31.0,1.0,11.0,3.0,2.0,13.73,30
