tahun,kode_prov,nama_prov,kabkota_4digit,kode_kab_2digit,nama_kab,kelas_kode,kelas,n_individu_tertimbang,n_individu_sample,pop_kab_total,pct_kelas_dalam_kab
2019,11,Aceh,1101,1,Simeulue,1,Poor,26699.7528,560,93019.0013,28.7035
2019,11,Aceh,1101,1,Simeulue,2,Vulnerable,27766.0370,589,93019.0013,29.8499
2019,11,Aceh,1101,1,Simeulue,3,Lower AMC,22075.1826,479,93019.0013,23.7319
2019,11,Aceh,1101,1,Simeulue,4,Upper AMC,8378.7759,175,93019.0013,9.0076
2019,11,Aceh,1101,1,Simeulue,5,Lower MC,7768.4192,162,93019.0013,8.3514
2019,11,Aceh,1101,1,Simeulue,6,Middle MC,330.8337,6,93019.0013,0.3557
2019,11,Aceh,1102,2,Aceh Singkil,1,Poor,22727.4833,370,123492.0005,18.4040
2019,11,Aceh,1102,2,Aceh Singkil,2,Vulnerable,45510.5493,760,123492.0005,36.8530
2019,11,Aceh,1102,2,Aceh Singkil,3,Lower AMC,31705.9910,608,123492.0005,25.6745
2019,11,Aceh,1102,2,Aceh Singkil,4,Upper AMC,17360.6316,273,123492.0005,14.0581
2019,11,Aceh,1102,2,Aceh Singkil,5,Lower MC,6187.3453,124,123492.0005,5.0103
2019,11,Aceh,1103,3,Aceh Selatan,1,Poor,42081.5526,345,237336.9982,17.7307
2019,11,Aceh,1103,3,Aceh Selatan,2,Vulnerable,82251.0248,715,237336.9982,34.6558
2019,11,Aceh,1103,3,Aceh Selatan,3,Lower AMC,72050.2601,650,237336.9982,30.3578
2019,11,Aceh,1103,3,Aceh Selatan,4,Upper AMC,23611.0958,198,237336.9982,9.9483
2019,11,Aceh,1103,3,Aceh Selatan,5,Lower MC,17343.0649,148,237336.9982,7.3074
2019,11,Aceh,1104,4,Aceh Tenggara,1,Poor,40440.0908,296,215468.9996,18.7684
2019,11,Aceh,1104,4,Aceh Tenggara,2,Vulnerable,79690.9092,720,215468.9996,36.9849
2019,11,Aceh,1104,4,Aceh Tenggara,3,Lower AMC,61031.9878,581,215468.9996,28.3252
2019,11,Aceh,1104,4,Aceh Tenggara,4,Upper AMC,21410.6094,229,215468.9996,9.9367
2019,11,Aceh,1104,4,Aceh Tenggara,5,Lower MC,12811.9708,152,215468.9996,5.9461
2019,11,Aceh,1104,4,Aceh Tenggara,6,Middle MC,83.4316,2,215468.9996,0.0387
2019,11,Aceh,1105,5,Aceh Timur,1,Poor,86562.1703,489,433938.0088,19.9480
2019,11,Aceh,1105,5,Aceh Timur,2,Vulnerable,153897.6153,860,433938.0088,35.4653
2019,11,Aceh,1105,5,Aceh Timur,3,Lower AMC,133800.2265,758,433938.0088,30.8339
2019,11,Aceh,1105,5,Aceh Timur,4,Upper AMC,46730.4954,293,433938.0088,10.7689
2019,11,Aceh,1105,5,Aceh Timur,5,Lower MC,12947.5013,77,433938.0088,2.9837
2019,11,Aceh,1106,6,Aceh Tengah,1,Poor,4876.1578,40,211490.9957,2.3056
2019,11,Aceh,1106,6,Aceh Tengah,2,Vulnerable,44008.5228,340,211490.9957,20.8087
2019,11,Aceh,1106,6,Aceh Tengah,3,Lower AMC,95447.1509,850,211490.9957,45.1306
2019,11,Aceh,1106,6,Aceh Tengah,4,Upper AMC,39530.0934,390,211490.9957,18.6911
2019,11,Aceh,1106,6,Aceh Tengah,5,Lower MC,26956.6306,241,211490.9957,12.7460
2019,11,Aceh,1106,6,Aceh Tengah,6,Middle MC,672.4402,8,211490.9957,0.3180
2019,11,Aceh,1107,7,Aceh Barat,1,Poor,13728.3843,112,209070.9889,6.5664
2019,11,Aceh,1107,7,Aceh Barat,2,Vulnerable,43157.7142,421,209070.9889,20.6426
2019,11,Aceh,1107,7,Aceh Barat,3,Lower AMC,70503.5288,699,209070.9889,33.7223
2019,11,Aceh,1107,7,Aceh Barat,4,Upper AMC,44892.7430,458,209070.9889,21.4725
