kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
1101,11,Aceh,1,Kab Simeulue
1102,11,Aceh,2,Kab Aceh Singkil
1103,11,Aceh,3,Kab Aceh Selatan
1104,11,Aceh,4,Kab Aceh Tenggara
1105,11,Aceh,5,Kab Aceh Timur
1106,11,Aceh,6,Kab Aceh Tengah
1107,11,Aceh,7,Kab Aceh Barat
1108,11,Aceh,8,Kab Aceh Besar
1109,11,Aceh,9,Kab Pidie
1110,11,Aceh,10,Kab Bireuen
1111,11,Aceh,11,Kab Aceh Utara
1112,11,Aceh,12,Kab Aceh Barat Daya
1113,11,Aceh,13,Kab Gayo Lues
1114,11,Aceh,14,Kab Aceh Tamiang
1115,11,Aceh,15,Kab Nagan Raya
1116,11,Aceh,16,Kab Aceh Jaya
1117,11,Aceh,17,Kab Bener Meriah
1118,11,Aceh,18,Kab Pidie Jaya
1171,11,Aceh,71,Kota Banda Aceh
1172,11,Aceh,72,Kota Sabang
1173,11,Aceh,73,Kota Langsa
1174,11,Aceh,74,Kota Lhokseumawe
1175,11,Aceh,75,Kota Subulussalam
1201,12,Sumatera Utara,1,Kab Nias
1202,12,Sumatera Utara,2,Kab Mandailing Natal
1203,12,Sumatera Utara,3,Kab Tapanuli Selatan
1204,12,Sumatera Utara,4,Kab Tapanuli Tengah
1205,12,Sumatera Utara,5,Kab Tapanuli Utara
1206,12,Sumatera Utara,6,Kab Toba
1207,12,Sumatera Utara,7,Kab Labuhanbatu
1208,12,Sumatera Utara,8,Kab Asahan
1209,12,Sumatera Utara,9,Kab Simalungun
1210,12,Sumatera Utara,10,Kab Dairi
1211,12,Sumatera Utara,11,Kab Karo
1212,12,Sumatera Utara,12,Kab Deli Serdang
1213,12,Sumatera Utara,13,Kab Langkat
1214,12,Sumatera Utara,14,Kab Nias Selatan
1215,12,Sumatera Utara,15,Kab Humbang Hasundutan
1216,12,Sumatera Utara,16,Kab Pakpak Bharat
1217,12,Sumatera Utara,17,Kab Samosir
1218,12,Sumatera Utara,18,Kab Serdang Bedagai
1219,12,Sumatera Utara,19,Kab Batu Bara
1220,12,Sumatera Utara,20,Kab Padang Lawas Utara
1221,12,Sumatera Utara,21,Kab Padang Lawas
1222,12,Sumatera Utara,22,Kab Labuhanbatu Selatan
1223,12,Sumatera Utara,23,Kab Labuhanbatu Utara
1224,12,Sumatera Utara,24,Kab Nias Utara
