kode_prov,kode_kabkota,year,nama_prov,nama_kabkota,share_tahan,share_ringan,share_sedang,share_parah,share_rawan_total,share_rawan_moderate_severe,share_rawan_severe,n_tahan,n_ringan,n_sedang,n_parah,n_total,rank_rawan_moderate_severe,rank_rawan_total,rank_rawan_severe,rms_2024,rt_2024,rs_2024,delta_rms,delta_rt
11,1101,2025,Aceh,Kab Simeulue,0.7585,0.2058,0.0243,0.0114,0.2415,0.0358,0.0114,76156.477,20659.0288,2443.5336,1146.9605,100406.0,132,21,177,0.0312,0.102,0.0108,0.0,0.14
11,1102,2025,Aceh,Kab Aceh Singkil,0.906,0.061,0.0125,0.0205,0.094,0.033,0.0205,119431.8494,8046.8284,1649.3585,2698.9637,131827.0,149,138,100,0.0429,0.1195,0.0119,-0.01,-0.03
11,1103,2025,Aceh,Kab Aceh Selatan,0.9649,0.0236,0.0043,0.0072,0.0351,0.0115,0.0072,247756.5724,6055.3107,1110.9743,1853.1426,256776.0,350,380,259,0.0164,0.0312,0.0087,-0.0,0.0
11,1104,2025,Aceh,Kab Aceh Tenggara,0.8969,0.0804,0.0067,0.0161,0.1031,0.0228,0.0161,206467.4532,18501.2632,1531.4976,3709.786,230210.0,215,114,138,0.042,0.1987,0.0226,-0.02,-0.1
11,1105,2025,Aceh,Kab Aceh Timur,0.9538,0.03,0.0051,0.011,0.0462,0.0161,0.011,443058.5319,13947.4636,2380.3637,5112.6408,464499.0,283,314,188,0.0025,0.0131,0.0012,0.01,0.03
11,1106,2025,Aceh,Kab Aceh Tengah,0.9245,0.039,0.0149,0.0217,0.0755,0.0365,0.0217,208772.3139,8804.2164,3360.8612,4890.6085,225828.0,126,192,92,0.0243,0.0625,0.0218,0.01,0.01
11,1107,2025,Aceh,Kab Aceh Barat,0.9778,0.0176,0.0034,0.0013,0.0222,0.0047,0.0013,217965.371,3917.5169,749.2875,288.8246,222921.0,439,445,423,0.0,0.009,0.0,0.0,0.01
11,1108,2025,Aceh,Kab Aceh Besar,0.9102,0.0556,0.0123,0.0219,0.0898,0.0342,0.0219,411162.2266,25114.5705,5552.4269,9899.776,451729.0,141,149,89,0.0189,0.0336,0.0128,0.02,0.06
11,1109,2025,Aceh,Kab Pidie,0.9782,0.0093,0.01,0.0024,0.0218,0.0125,0.0024,461609.8124,4393.2685,4734.4256,1150.4934,471888.0,335,447,387,0.0041,0.0248,0.001,0.01,-0.0
11,1110,2025,Aceh,Kab Bireuen,0.9113,0.0603,0.0035,0.0249,0.0887,0.0284,0.0249,456574.025,30214.7284,1748.3629,12498.8837,501036.0,177,155,69,0.0275,0.093,0.0145,0.0,-0.0
11,1111,2025,Aceh,Kab Aceh Utara,0.9718,0.0188,0.0018,0.0076,0.0282,0.0094,0.0076,636169.2653,12313.4083,1146.3693,4985.9571,654615.0,382,417,249,0.0274,0.0571,0.0162,-0.02,-0.03
11,1112,2025,Aceh,Kab Aceh Barat Daya,0.9686,0.011,0.0061,0.0143,0.0314,0.0203,0.0143,156341.7609,1778.7571,977.3258,2307.1562,161405.0,244,406,155,0.0048,0.0173,0.0036,0.02,0.01
