kode_prov,kode_kabkota,n_tahan,n_ringan,n_sedang,n_parah,n_total,year,share_tahan,share_ringan,share_sedang,share_parah,share_rawan_total,share_rawan_moderate_severe,share_rawan_severe,nama_prov,nama_kabkota
11,1101,73281.8178,13877.0706,3921.0733,1939.0394,93019.0013,2019,0.7878,0.1492,0.0422,0.0208,0.2122,0.063,0.0208,Aceh,Kab Simeulue
11,1102,109788.6009,10425.2565,1288.688,1989.4551,123492.0005,2019,0.889,0.0844,0.0104,0.0161,0.111,0.0265,0.0161,Aceh,Kab Aceh Singkil
11,1103,200766.362,25863.3791,7028.5257,3678.7314,237336.9982,2019,0.8459,0.109,0.0296,0.0155,0.1541,0.0451,0.0155,Aceh,Kab Aceh Selatan
11,1104,150946.8619,45022.7506,14444.2889,5055.0981,215468.9996,2019,0.7006,0.209,0.067,0.0235,0.2994,0.0905,0.0235,Aceh,Kab Aceh Tenggara
11,1105,391082.4142,17893.3341,19001.6008,5960.6596,433938.0088,2019,0.9012,0.0412,0.0438,0.0137,0.0988,0.0575,0.0137,Aceh,Kab Aceh Timur
11,1106,195978.2068,7922.8606,3462.8964,4127.0319,211490.9957,2019,0.9267,0.0375,0.0164,0.0195,0.0733,0.0359,0.0195,Aceh,Kab Aceh Tengah
11,1107,204388.0262,4304.0697,27.3438,351.5493,209070.9889,2019,0.9776,0.0206,0.0001,0.0017,0.0224,0.0018,0.0017,Aceh,Kab Aceh Barat
11,1108,403447.3577,16418.4674,2224.7237,1134.4419,423224.9907,2019,0.9533,0.0388,0.0053,0.0027,0.0467,0.0079,0.0027,Aceh,Kab Aceh Besar
11,1109,418062.1061,15494.4108,5823.2358,4128.2505,443508.0032,2019,0.9426,0.0349,0.0131,0.0093,0.0574,0.0224,0.0093,Aceh,Kab Pidie
11,1110,423496.2352,41516.6939,4014.5519,112.5226,469140.0035,2019,0.9027,0.0885,0.0086,0.0002,0.0973,0.0088,0.0002,Aceh,Kab Bireuen
11,1111,580601.8448,24476.2622,4728.1302,7599.7862,617406.0234,2019,0.9404,0.0396,0.0077,0.0123,0.0596,0.02,0.0123,Aceh,Kab Aceh Utara
11,1112,143919.0833,3137.4427,2096.1759,667.2999,149820.0017,2019,0.9606,0.0209,0.014,0.0045,0.0394,0.0184,0.0045,Aceh,Kab Aceh Barat Daya
11,1113,92196.8283,769.6987,526.2924,230.1802,93722.9995,2019,0.9837,0.0082,0.0056,0.0025,0.0163,0.0081,0.0025,Aceh,Kab Gayo Lues
11,1114,253439.323,30172.4176,7208.079,3212.1847,294032.0043,2019,0.8619,0.1026,0.0245,0.0109,0.1381,0.0354,0.0109,Aceh,Kab Aceh Tamiang
11,1115,156326.5912,6730.7198,448.2083,3082.4804,166587.9998,2019,0.9384,0.0404,0.0027,0.0185,0.0616,0.0212,0.0185,Aceh,Kab Nagan Raya
11,1116,86946.5835,3904.8079,1000.7087,584.9019,92437.002,2019,0.9406,0.0422,0.0108,0.0063,0.0594,0.0172,0.0063,Aceh,Kab Aceh Jaya
