tahun,kode_prov,nama_prov,kelas_kode,kelas,jenis_bbm,n_tertimbang,pct_dalam_kelas
2019,11,ACEH,1,Poor,Pertalite,244038,29.7812
2019,11,ACEH,1,Poor,Pertamax,134902,16.4628
2019,11,ACEH,1,Poor,Premium,261605,31.925
2019,11,ACEH,1,Poor,Tidak beli,178892,21.8311
2019,11,ACEH,2,Vulnerable,Pertalite,807851,53.0907
2019,11,ACEH,2,Vulnerable,Pertamax,85185,5.5982
2019,11,ACEH,2,Vulnerable,Pertamax Turbo,1072,0.0705
2019,11,ACEH,2,Vulnerable,Premium,444527,29.2136
2019,11,ACEH,2,Vulnerable,Tidak beli,183009,12.0271
2019,11,ACEH,3,Lower AMC,Pertalite,720906,41.9876
2019,11,ACEH,3,Lower AMC,Pertamax,512229,29.8337
2019,11,ACEH,3,Lower AMC,Pertamax Turbo,5063,0.2949
2019,11,ACEH,3,Lower AMC,Premium,379960,22.13
2019,11,ACEH,3,Lower AMC,Tidak beli,98791,5.7539
2019,11,ACEH,4,Upper AMC,Pertalite,306170,42.4562
2019,11,ACEH,4,Upper AMC,Pertamax,303953,42.1487
2019,11,ACEH,4,Upper AMC,Pertamax Turbo,3998,0.5544
2019,11,ACEH,4,Upper AMC,Premium,67003,9.2912
2019,11,ACEH,4,Upper AMC,Tidak beli,40020,5.5495
2019,11,ACEH,5,Lower MC,Pertalite,284174,52.7753
2019,11,ACEH,5,Lower MC,Pertamax,168967,31.3797
2019,11,ACEH,5,Lower MC,Pertamax Turbo,2801,0.5202
2019,11,ACEH,5,Lower MC,Premium,60212,11.1823
2019,11,ACEH,5,Lower MC,Tidak beli,22306,4.1426
2019,11,ACEH,6,Middle MC,Pertalite,19852,74.7609
2019,11,ACEH,6,Middle MC,Pertamax,2447,9.2152
2019,11,ACEH,6,Middle MC,Pertamax Turbo,68,0.2561
2019,11,ACEH,6,Middle MC,Premium,3361,12.6572
2019,11,ACEH,6,Middle MC,Tidak beli,826,3.1106
2019,11,ACEH,7,Upper MC,Pertalite,937,52.8781
2019,11,ACEH,7,Upper MC,Pertamax,431,24.3228
2019,11,ACEH,7,Upper MC,Premium,404,22.7991
2019,11,ACEH,8,Upper Class,Pertalite,2467,85.452
2019,11,ACEH,8,Upper Class,Pertamax,411,14.2362
2019,11,ACEH,8,Upper Class,Premium,9,0.3117
2019,12,SUMATERA UTARA,1,Poor,Pertalite,366388,28.5786
2019,12,SUMATERA UTARA,1,Poor,Pertamax,142597,11.1227
2019,12,SUMATERA UTARA,1,Poor,Premium,215588,16.8161
2019,12,SUMATERA UTARA,1,Poor,Tidak beli,557464,43.4827
2019,12,SUMATERA UTARA,2,Vulnerable,Pertalite,1820039,50.6856
2019,12,SUMATERA UTARA,2,Vulnerable,Pertamax,260545,7.2558
2019,12,SUMATERA UTARA,2,Vulnerable,Pertamax Turbo,6252,0.1741
2019,12,SUMATERA UTARA,2,Vulnerable,Premium,746831,20.7982
2019,12,SUMATERA UTARA,2,Vulnerable,Tidak beli,757175,21.0863
2019,12,SUMATERA UTARA,3,Lower AMC,Pertalite,1839591,33.6137
2019,12,SUMATERA UTARA,3,Lower AMC,Pertamax,1583646,28.937
2019,12,SUMATERA UTARA,3,Lower AMC,Pertamax Turbo,23135,0.4227
2019,12,SUMATERA UTARA,3,Lower AMC,Premium,1334103,24.3772
2019,12,SUMATERA UTARA,3,Lower AMC,Tidak beli,692268,12.6494
2019,12,SUMATERA UTARA,4,Upper AMC,Pertalite,1105653,46.9013
2019,12,SUMATERA UTARA,4,Upper AMC,Pertamax,809258,34.3284
2019,12,SUMATERA UTARA,4,Upper AMC,Pertamax Turbo,18559,0.7873
2019,12,SUMATERA UTARA,4,Upper AMC,Premium,235371,9.9843
2019,12,SUMATERA UTARA,4,Upper AMC,Tidak beli,188561,7.9987
2019,12,SUMATERA UTARA,5,Lower MC,Pertalite,1000947,59.7682
2019,12,SUMATERA UTARA,5,Lower MC,Pertamax,391712,23.3898
2019,12,SUMATERA UTARA,5,Lower MC,Pertamax Turbo,20174,1.2046
2019,12,SUMATERA UTARA,5,Lower MC,Premium,141495,8.4489
2019,12,SUMATERA UTARA,5,Lower MC,Tidak beli,120388,7.1886
2019,12,SUMATERA UTARA,6,Middle MC,Pertalite,72621,68.1024
2019,12,SUMATERA UTARA,6,Middle MC,Pertamax,26270,24.6354
2019,12,SUMATERA UTARA,6,Middle MC,Pertamax Turbo,333,0.3123
2019,12,SUMATERA UTARA,6,Middle MC,Premium,1871,1.7546
2019,12,SUMATERA UTARA,6,Middle MC,Tidak beli,5540,5.1953
2019,12,SUMATERA UTARA,7,Upper MC,Pertalite,10516,66.1051
2019,12,SUMATERA UTARA,7,Upper MC,Pertamax,2060,12.9495
2019,12,SUMATERA UTARA,7,Upper MC,Premium,3332,20.9454
2019,12,SUMATERA UTARA,8,Upper Class,Pertalite,19184,75.6199
2019,12,SUMATERA UTARA,8,Upper Class,Pertamax,2462,9.7048
2019,12,SUMATERA UTARA,8,Upper Class,Premium,1465,5.7748
2019,12,SUMATERA UTARA,8,Upper Class,Tidak beli,2258,8.9006
2019,13,SUMATERA BARAT,1,Poor,Pertalite,173969,49.9594
2019,13,SUMATERA BARAT,1,Poor,Pertamax,1976,0.5675
2019,13,SUMATERA BARAT,1,Poor,Pertamax Turbo,574,0.1648
2019,13,SUMATERA BARAT,1,Poor,Premium,69338,19.9121
2019,13,SUMATERA BARAT,1,Poor,Tidak beli,102364,29.3963
2019,13,SUMATERA BARAT,2,Vulnerable,Pertalite,400117,29.6344
2019,13,SUMATERA BARAT,2,Vulnerable,Pertamax,240667,17.8248
2019,13,SUMATERA BARAT,2,Vulnerable,Premium,495374,36.6895
