tahun,kode_prov,nama_prov,kelas_kode,kelas,jenis_bbm,n_tertimbang,pct_dalam_kelas
2019,11,ACEH,1,Poor,Pertalite,243138,29.6713
2019,11,ACEH,1,Poor,Pertamax,134902,16.4628
2019,11,ACEH,1,Poor,Premium,262505,32.0348
2019,11,ACEH,1,Poor,Tidak beli,178892,21.8311
2019,11,ACEH,2,Vulnerable,Pertalite,809831,53.2208
2019,11,ACEH,2,Vulnerable,Pertamax,85185,5.5982
2019,11,ACEH,2,Vulnerable,Pertamax Turbo,1072,0.0705
2019,11,ACEH,2,Vulnerable,Premium,442547,29.0835
2019,11,ACEH,2,Vulnerable,Tidak beli,183009,12.0271
2019,11,ACEH,3,Lower AMC,Pertalite,717551,41.7922
2019,11,ACEH,3,Lower AMC,Pertamax,510749,29.7475
2019,11,ACEH,3,Lower AMC,Pertamax Turbo,5063,0.2949
2019,11,ACEH,3,Lower AMC,Premium,384795,22.4116
2019,11,ACEH,3,Lower AMC,Tidak beli,98791,5.7539
2019,11,ACEH,4,Upper AMC,Pertalite,305672,42.387
2019,11,ACEH,4,Upper AMC,Pertamax,303953,42.1487
2019,11,ACEH,4,Upper AMC,Pertamax Turbo,3998,0.5544
2019,11,ACEH,4,Upper AMC,Premium,67502,9.3604
2019,11,ACEH,4,Upper AMC,Tidak beli,40020,5.5495
2019,11,ACEH,5,Lower MC,Pertalite,286148,53.142
2019,11,ACEH,5,Lower MC,Pertamax,168109,31.2204
2019,11,ACEH,5,Lower MC,Pertamax Turbo,2801,0.5202
2019,11,ACEH,5,Lower MC,Premium,59095,10.9748
2019,11,ACEH,5,Lower MC,Tidak beli,22306,4.1426
2019,11,ACEH,6,Middle MC,Pertalite,19852,74.7609
2019,11,ACEH,6,Middle MC,Pertamax,2447,9.2152
2019,11,ACEH,6,Middle MC,Pertamax Turbo,68,0.2561
2019,11,ACEH,6,Middle MC,Premium,3361,12.6572
2019,11,ACEH,6,Middle MC,Tidak beli,826,3.1106
2019,11,ACEH,7,Upper MC,Pertalite,937,52.8781
2019,11,ACEH,7,Upper MC,Pertamax,431,24.3228
2019,11,ACEH,7,Upper MC,Premium,404,22.7991
2019,11,ACEH,8,Upper Class,Pertalite,2467,85.452
2019,11,ACEH,8,Upper Class,Pertamax,411,14.2362
2019,11,ACEH,8,Upper Class,Premium,9,0.3117
2019,12,SUMATERA UTARA,1,Poor,Pertalite,366269,28.5693
2019,12,SUMATERA UTARA,1,Poor,Pertamax,142597,11.1227
2019,12,SUMATERA UTARA,1,Poor,Premium,215707,16.8253
2019,12,SUMATERA UTARA,1,Poor,Tidak beli,557464,43.4827
2019,12,SUMATERA UTARA,2,Vulnerable,Pertalite,1825212,50.8296
2019,12,SUMATERA UTARA,2,Vulnerable,Pertamax,252354,7.0277
2019,12,SUMATERA UTARA,2,Vulnerable,Pertamax Turbo,6252,0.1741
2019,12,SUMATERA UTARA,2,Vulnerable,Premium,749850,20.8823
2019,12,SUMATERA UTARA,2,Vulnerable,Tidak beli,757175,21.0863
2019,12,SUMATERA UTARA,3,Lower AMC,Pertalite,1838358,33.5912
2019,12,SUMATERA UTARA,3,Lower AMC,Pertamax,1580501,28.8795
2019,12,SUMATERA UTARA,3,Lower AMC,Pertamax Turbo,23135,0.4227
2019,12,SUMATERA UTARA,3,Lower AMC,Premium,1338481,24.4572
2019,12,SUMATERA UTARA,3,Lower AMC,Tidak beli,692268,12.6494
2019,12,SUMATERA UTARA,4,Upper AMC,Pertalite,1111873,47.1652
2019,12,SUMATERA UTARA,4,Upper AMC,Pertamax,810010,34.3603
2019,12,SUMATERA UTARA,4,Upper AMC,Pertamax Turbo,18559,0.7873
2019,12,SUMATERA UTARA,4,Upper AMC,Premium,228398,9.6886
2019,12,SUMATERA UTARA,4,Upper AMC,Tidak beli,188561,7.9987
2019,12,SUMATERA UTARA,5,Lower MC,Pertalite,997499,59.5623
2019,12,SUMATERA UTARA,5,Lower MC,Pertamax,392787,23.454
2019,12,SUMATERA UTARA,5,Lower MC,Pertamax Turbo,20174,1.2046
2019,12,SUMATERA UTARA,5,Lower MC,Premium,143867,8.5905
2019,12,SUMATERA UTARA,5,Lower MC,Tidak beli,120388,7.1886
2019,12,SUMATERA UTARA,6,Middle MC,Pertalite,72621,68.1024
2019,12,SUMATERA UTARA,6,Middle MC,Pertamax,26270,24.6354
2019,12,SUMATERA UTARA,6,Middle MC,Pertamax Turbo,333,0.3123
2019,12,SUMATERA UTARA,6,Middle MC,Premium,1871,1.7546
2019,12,SUMATERA UTARA,6,Middle MC,Tidak beli,5540,5.1953
2019,12,SUMATERA UTARA,7,Upper MC,Pertalite,10516,66.1051
2019,12,SUMATERA UTARA,7,Upper MC,Pertamax,2060,12.9495
2019,12,SUMATERA UTARA,7,Upper MC,Premium,3332,20.9454
2019,12,SUMATERA UTARA,8,Upper Class,Pertalite,19184,75.6199
2019,12,SUMATERA UTARA,8,Upper Class,Pertamax,2462,9.7048
2019,12,SUMATERA UTARA,8,Upper Class,Premium,1465,5.7748
2019,12,SUMATERA UTARA,8,Upper Class,Tidak beli,2258,8.9006
2019,13,SUMATERA BARAT,1,Poor,Pertalite,175111,50.2873
2019,13,SUMATERA BARAT,1,Poor,Pertamax,834,0.2395
2019,13,SUMATERA BARAT,1,Poor,Pertamax Turbo,574,0.1648
2019,13,SUMATERA BARAT,1,Poor,Premium,69338,19.9121
2019,13,SUMATERA BARAT,1,Poor,Tidak beli,102364,29.3963
2019,13,SUMATERA BARAT,2,Vulnerable,Pertalite,399047,29.5551
2019,13,SUMATERA BARAT,2,Vulnerable,Pertamax,242395,17.9528
2019,13,SUMATERA BARAT,2,Vulnerable,Premium,494716,36.6408
2019,13,SUMATERA BARAT,2,Vulnerable,Tidak beli,214021,15.8513
2019,13,SUMATERA BARAT,3,Lower AMC,Pertalite,601099,28.8437
2019,13,SUMATERA BARAT,3,Lower AMC,Pertamax,804430,38.6006
2019,13,SUMATERA BARAT,3,Lower AMC,Pertamax Turbo,18096,0.8683
2019,13,SUMATERA BARAT,3,Lower AMC,Premium,482865,23.1703
2019,13,SUMATERA BARAT,3,Lower AMC,Tidak beli,177495,8.5171
2019,13,SUMATERA BARAT,4,Upper AMC,Pertalite,323297,35.2798
2019,13,SUMATERA BARAT,4,Upper AMC,Pertamax,361198,39.4157
2019,13,SUMATERA BARAT,4,Upper AMC,Pertamax Turbo,9631,1.051
2019,13,SUMATERA BARAT,4,Upper AMC,Premium,154541,16.8643
2019,13,SUMATERA BARAT,4,Upper AMC,Tidak beli,67713,7.3892
2019,13,SUMATERA BARAT,5,Lower MC,Pertalite,267596,39.396
2019,13,SUMATERA BARAT,5,Lower MC,Pertamax,196701,28.9587
2019,13,SUMATERA BARAT,5,Lower MC,Pertamax Turbo,12470,1.8359
