kode_prov,kode_kabkota,nama_prov,nama_kab,n_sppg,pop_total_2025,pop_anak_6_18_2025,n_sample_anak_6_18,share_rawan_moderate_severe_2025,share_rawan_severe_2025,sppg_per_10k_anak,sppg_per_10k_total,fies_norm,sppg_density_norm,gap_score,rank_gap,tier,quadrant
97,9708,Papua Pegunungan,Kab Pegunungan Bintang,0,79646,22751,442,0.5503,0.4229,0.0,0.0,1.0,0.0,1.0,1,Tier 1 - Prioritas Tinggi,GAP
95,9502,Papua Selatan,Kab Boven Digoel,1,74045,17284,546,0.2003,0.1445,0.58,0.14,0.364,0.0075,0.3612,2,Tier 1 - Prioritas Tinggi,GAP
94,9427,Papua,Kab Supiori,1,22255,6515,524,0.1823,0.0914,1.53,0.45,0.3313,0.0199,0.3247,3,Tier 1 - Prioritas Tinggi,GAP
81,8102,Maluku,Kab Maluku Tenggara,4,101263,25141,615,0.1589,0.0494,1.59,0.4,0.2886,0.0206,0.2827,4,Tier 1 - Prioritas Tinggi,GAP
53,5321,Nusa Tenggara Timur,Kab Malaka,13,207393,54737,608,0.1604,0.0563,2.37,0.63,0.2914,0.0308,0.2824,5,Tier 1 - Prioritas Tinggi,GAP
12,1225,Sumatera Utara,Kab Nias Barat,8,82936,25594,785,0.1614,0.0733,3.13,0.96,0.2933,0.0405,0.2814,6,Tier 1 - Prioritas Tinggi,GAP
75,7504,Gorontalo,Kab Bone Bolango,14,160443,34355,512,0.1379,0.0692,4.08,0.87,0.2505,0.0529,0.2372,7,Tier 1 - Prioritas Tinggi,Sudah Tertangani
91,9112,Papua Barat,Kab Pegunungan Arfak,0,38408,9223,254,0.1261,0.0478,0.0,0.0,0.2291,0.0,0.2291,8,Tier 1 - Prioritas Tinggi,GAP
53,5318,Nusa Tenggara Timur,Kab Nagekeo,11,152940,34971,574,0.1224,0.012,3.15,0.72,0.2224,0.0408,0.2133,9,Tier 1 - Prioritas Tinggi,GAP
81,8101,Maluku,Kab Kepulauan Tanimbar,2,113157,28481,605,0.1148,0.0376,0.7,0.18,0.2085,0.0091,0.2066,10,Tier 1 - Prioritas Tinggi,GAP
91,9102,Papua Barat,Kab Kaimana,6,71575,18134,574,0.1168,0.0951,3.31,0.84,0.2123,0.0429,0.2032,11,Tier 1 - Prioritas Tinggi,GAP
53,5303,Nusa Tenggara Timur,Kab Kupang,0,430580,101588,662,0.1099,0.0443,0.0,0.0,0.1998,0.0,0.1998,12,Tier 1 - Prioritas Tinggi,GAP
53,5309,Nusa Tenggara Timur,Kab Flores Timur,9,265840,65857,595,0.1115,0.0351,1.37,0.34,0.2026,0.0177,0.1991,13,Tier 1 - Prioritas Tinggi,GAP
53,5317,Nusa Tenggara Timur,Kab Sumba Barat Daya,8,380738,113281,998,0.1042,0.0177,0.71,0.21,0.1893,0.0092,0.1875,14,Tier 1 - Prioritas Tinggi,GAP
13,1371,Sumatera Barat,Kota Padang,72,1030979,223663,691,0.1064,0.0222,3.22,0.7,0.1933,0.0418,0.1852,15,Tier 1 - Prioritas Tinggi,GAP
95,9503,Papua Selatan,Kab Mappi,1,107133,31140,789,0.1004,0.0534,0.32,0.09,0.1824,0.0042,0.1817,16,Tier 1 - Prioritas Tinggi,GAP
62,6213,Kalimantan Tengah,Kab Murung Raya,2,123442,31483,470,0.097,0.0383,0.64,0.16,0.1763,0.0082,0.1749,17,Tier 1 - Prioritas Tinggi,GAP
